gene_id	isAS	T0_WT	T30_WT	T60_WT	T90_WT	T120_WT	T0_dko	T30_dko	T60_dko	T90_dko	T120_dko
G1000	TRUE	0.718480512335317	0.636571735624144	0.991527526844336	0.905540434591265	1.37545686031965	4.19368577938974	3.25550217613542	4.02602393835063	4.36327274321006	5.83000686124172
G1003	TRUE	0.463770358843064	0.788745292263547	0.503232706994371	0.392953438815034	0.411167004324593	10.5370320309891	9.95862512279008	12.102034177886	9.56874450434783	7.24465375212145
G1005	TRUE	0.321243402948201	0.631358127701129	1.23843622206069	0.627942632680207	0.347719767769615	9.07372956450214	8.00249322768683	13.4131866097671	14.3940383769564	10.7203131374042
G1008	TRUE	0.71331019034835	0.615069387149418	0.373147820937878	0.41731899990795	0.411597081193296	3.24492603727617	3.99246428829827	3.07687424398677	2.26019005284022	2.0002051074688
G101	TRUE	0.136338383432933	0.0734174045028831	0	0.0699725257388731	0.0803831191588562	3.00658615237487	2.36781318560048	1.67891857137177	1.43597204277689	1.36142286011417
G1011	TRUE	0.353395263671441	0.306801356452781	0.266059866211146	0.205952854407062	0.241602209404966	1.24962992099476	1.60894434522019	1.34175903018398	1.53960206310611	1.08802949370145
G1013	TRUE	0.368180817232213	0.70846401176229	0.765948380098813	0.462080616599247	0.323397603597374	15.0685376384491	22.8770322882179	27.9695174746203	23.2490877166824	18.9501192221663
G1014	TRUE	1.61799502133066	1.13185226340479	1.24141808880176	1.64454422539738	1.97211860244612	20.7678053655716	25.7646727731287	35.2041944319174	34.1732377322758	29.9479285404399
G1015	TRUE	0.222578192267883	0.477756288498655	0.964538850118052	0.912337350651004	0.961867013556973	2.68529100198379	4.39712344265761	8.08526148349709	11.1549176049277	10.6314541792158
G1019	TRUE	0.0826421908444969	0.253479924118926	0	0.175807216865584	0.276268408725719	1.24906413877158	0.881099972124314	1.63728585117892	1.30050363946237	0.915256111388229
G1021	TRUE	0.588227010119069	0.724717968079705	0.546359166107797	0.224958494346837	0.83386001741658	6.62682392350577	4.6599901484945	4.92890336650925	2.67837559049845	2.45670841943703
G1022	TRUE	2.87096999492513	2.55464474895198	3.10244465038766	3.36465327426877	3.69496717590306	6.9621503447277	5.58552803241499	7.73555170732548	5.9413518777959	5.43334456663146
G1023	TRUE	0.642410085883571	0.23953944559644	0.502567770174211	0.419772399919667	0.252872889916274	3.18088259588314	2.74307705460111	4.38742789750746	4.70263127560252	4.17744049420735
G1026	TRUE	0.118281600946505	0.243830554856418	0.128093934548268	0.279227028404217	0.26589804516365	0.851396383342311	1.35712442970448	1.05892836294528	0.866769203907008	0.963586913949001
G1029	TRUE	1.99695924198091	1.63472485990925	2.97850655919587	4.2668218060883	4.37134455224341	6.83423396172361	5.36033614605963	6.38952215520755	6.31742589965214	5.52155810004996
G103	TRUE	0.113177124659864	0.200009085229866	0.166926952349609	0.197522203608683	0.145845116279429	0.406050309957167	0.397034442775537	0.257439939112402	0.181604228816447	0.326156291526051
G1033	TRUE	6.87017003090184	3.21590995458487	4.29595560262264	4.84994951263403	4.63988006742084	22.6230686954277	12.4754769949386	10.423277813782	9.53471239903727	9.98629370172464
G1035	TRUE	1.13831252466718	1.41130329455539	1.47377531627462	1.42246386730133	2.08864051645804	5.65631249666618	6.26304430471409	9.37553190126862	8.6302511539482	8.40921044664237
G1036	TRUE	1.14306177802823	0.328870359181959	0.492391341185433	0.337722675414405	0.38068700766845	4.42938877010271	2.29510252362868	3.48222187294779	3.05336469697459	2.56980323278433
G1038	TRUE	0	0.0240246733704654	0	0	0.0524590304850105	2.58303162957256	1.53692985420592	1.86723704808951	1.04071068814942	1.43019131357255
G1039	TRUE	0.123915798071717	0.043065008677399	0.054560398204865	0	0.106753563125753	2.88458922880156	2.25637959502746	3.54237031758241	1.83055155217902	1.23823954211478
G104	TRUE	18.5436097698906	31.5527987980144	44.6534733625416	71.1422888616967	77.7482752341865	22.2066553951665	45.6077247922921	112.137793347016	175.906742044653	193.314955742328
G1040	TRUE	0.994547234212509	1.09223184768981	1.33114594257056	1.81528566241632	1.34601850625743	4.65671429389251	6.33714007571773	7.55652147314953	4.37412955878971	5.5170689260048
G1043	TRUE	0.726552875472793	1.39044547680824	2.85298054034581	2.26141738802011	1.67267570227529	4.28329049237317	10.4385727117231	11.0339360043518	8.43349423503816	7.40043132239996
G1045	TRUE	0.33621292263276	0.627846930957071	1.32678169787248	1.6778542522458	2.00135926791557	3.90678731509367	12.1563090886737	14.3953107239536	13.417749813661	12.4226304286625
G1047	TRUE	0.230470590065567	0.199520978853942	0.0399977660713424	0.286539144024572	0.267538471157072	0.677387978058009	1.27326903858697	1.77198452393281	2.76556570794452	3.07303151880977
G1049	TRUE	0.0942892689663268	0.17191445741173	0.362108929511526	0.0803967611906695	0.114495081786412	1.46053865435267	2.05278095251154	2.64718730560899	1.92696856117528	2.40023428229008
G105	TRUE	11.131957996052	19.8932947475472	15.4276673137172	8.73249305928934	8.81625268638892	20.8243490463966	78.005185290048	52.5146861644166	29.1766233404126	21.9184977526493
G1052	TRUE	1.25296777386625	1.96077739659348	2.36850417899375	2.6669514013951	3.08799834721524	3.88601120535333	8.11330786976323	8.36220894993676	7.47182745144507	6.52337474101095
G1053	TRUE	0.0882328477385663	0.0791935263335612	0.252422605710525	0.102886279807596	0.102096018220214	1.71394057957719	1.9732765472647	1.40261864605057	1.0356540575586	0.548413066236811
G1055	TRUE	0.878131548924374	1.03535770662063	1.10016790198858	0.801145427026225	1.15485269861444	6.45372883978697	8.55178253253522	6.18770440175999	5.55318097663591	5.80336296954108
